year,quarter,region,area,level_of_edu,value,unit,source
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Higher Education - Teacher Education Track,77.24,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Other Education,0.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,No Data,0.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Total,69.13,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,No Education,47.88,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Below Primary Education,58.94,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Primary Education,74.82,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Lower Secondary Education,62.64,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Upper Secondary Education - General Track,69.99,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Upper Secondary Education - Vocational Track,69.89,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Upper Secondary Education - Academic Track,40.07,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Higher Education - Academic Track,86.89,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Higher Education - Vocational Track,83.36,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Higher Education - Teacher Education Track,75.23,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,Other Education,89.05,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,Total,No Data,80.9,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Total,67.34,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,No Education,47.29,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,ในเขตเทศบาล,Below Primary Education,57.51,Percentage,National Statistical Office of Thailand
